,month,date,year,title,link
0,1,1,2006년,"대통령 직속, 「군의문사 진상 규명 위원회」 설립(~2009.12)",http://db.history.go.kr/id/tcct_2006_01_01_0020
1,1,1,1989년,국민 해외 여행 전면 자유화 실시로 관광 여권의 발급 제한 완전 철폐,http://db.history.go.kr/id/tcct_1989_01_01_0020
2,1,1,1979년,"경제 기획원, 한국인 평균 수명이 여자 70세, 남자 66.1세라고 발표",http://db.history.go.kr/id/tcct_1979_01_01_0010
3,1,1,1964년,"계량 합리화 방안으로 ‘미터법’ 실시하여 미터·리터·그램 단위를 사용하고, 척관법(尺貫法) 사용 때에는 벌금 부과",http://db.history.go.kr/id/tcct_1964_01_01_0030
4,1,1,1963년,"국가 재건 최고 회의, 1년 7개월 만에 민간인 정치 활동 재개 허용",http://db.history.go.kr/id/tcct_1963_01_01_0020
5,1,1,1962년,공용 연호를 단기(檀紀)에서 서기(西紀)로 변경,http://db.history.go.kr/id/tcct_1962_01_01_0020
6,1,1,1957년,"전국적으로 치안관의 치안 재판(즉결 재판) 폐지하고, 법관의 순회 재판 실시",http://db.history.go.kr/id/tcct_1957_01_01_0010
7,1,1,1949년,"미국 정부, 대한민국 정부를 정식 승인",http://db.history.go.kr/id/tcct_1949_01_01_0060
8,1,1,1923년,"경성 남대문역, 경성역으로 개칭",http://db.history.go.kr/id/tcmd_1923_01_01_0010
9,1,1,1917년,"이광수의 장편 소설 「무정(無情)」, 〈매일신보〉에 연재 시작",http://db.history.go.kr/id/tcmd_1917_01_01_0010
10,1,1,1912년,"한국 표준시, 일본 표준시에 맞춰 오전 11시 30분(127도 30분)을 정오(135도)로 변경",http://db.history.go.kr/id/tcmd_1912_01_01_0030
11,1,1,1911년,"경무 총감부,  안명근(安明根) 체포를 계기로 황해도 일대의 민족주의자 총검거 시작(안악 사건, 105인 사건)",http://db.history.go.kr/id/tcmd_1911_01_01_0020
12,1,1,1910년,"통감부, 대한제국에서 발행한 구 백동화의 통용 금지",http://db.history.go.kr/id/tcmd_1910_01_01_0020
13,1,1,1908년,재판소 구성법·시행법 및 설치법 시행 공포. 4급 3심 제도 채택,http://db.history.go.kr/id/tcmd_1908_01_01_0060
14,1,1,1907년,"의병장 최익현(崔益鉉, 1833~1907), 대마도에서 단식 투쟁하다 사망함",http://db.history.go.kr/id/tcmd_1907_01_01_0020
15,1,1,1900년,만국 우편 연맹에 가입하여 외국과 직접 우편물 교환,http://db.history.go.kr/id/tcmd_1900_01_01_0020
16,1,1,1897년,서울 시내에 최초의 가로등(석유) 등장,http://db.history.go.kr/id/tcmd_1897_01_01_0020
17,1,1,1888년,[음]각 조약국과 협의 중이던 세관 가규칙(稅關假規則)에 합의하여 실시,http://db.history.go.kr/id/tcmd_1888_01_01_0010
18,1,1,1847년,[음]정월 초하룻날 의례를 거행하며 공납업자와 상인의 요역을 탕감하여 줌,http://sillok.history.go.kr/id/kxa_11301001_003
19,1,1,1806년,[음]새해를 맞아 권농 윤음을 내림,http://sillok.history.go.kr/id/kwa_10601001_002
20,1,1,1804년,[음]새해를 맞아 권농 윤음을 내림,http://sillok.history.go.kr/id/kwa_10401001_001
21,1,1,1803년,[음]《선원보략(璿源譜略》의 증수를 완성함,http://sillok.history.go.kr/id/kwa_10301001_001
22,1,1,1800년,[음]원자(순조)를 왕세자로 삼음,http://sillok.history.go.kr/id/kva_12401001_004
23,1,1,1788년,[음]새해를 맞아 권농 윤음을 내림,http://sillok.history.go.kr/id/kva_11201001_002
24,1,1,1772년,[음]새해를 맞아 권농할 것을 전교함,http://sillok.history.go.kr/id/kua_14801001_003
25,1,1,1767년,[음]새해를 맞아 권농 윤음을 내림,http://sillok.history.go.kr/id/kua_14301001_002
26,1,1,1765년,[음]정조(正朝)의 하례를 정지함,http://sillok.history.go.kr/id/kua_14101001_001
27,1,1,1758년,[음]새해를 맞아 농사를 권장하는 윤음을 지어 전국에 반포함,http://sillok.history.go.kr/id/kua_13401001_004
