속성1,속성2,속성3
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야관료,지방관,지방관
활동분야왕실,왕자,왕자
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야관료,관리,관리
활동분야가공인물,설화인물,설화인물
활동분야가공인물,기타,가공인물
활동분야가공인물,신화인물,신화인물
활동분야기타,지방세력가,지방세력가
활동분야왕실,왕,왕
활동분야관료,관리,관리
활동분야기타,,기타
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야관료,대신,대신
활동분야관료,대신,대신
활동분야왕실,기타,왕실
활동분야관료,대신,대신
활동분야관료,대신,대신
활동분야군인,장군,장군
활동분야관료,관리,관리
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕족,왕족
활동분야왕실,왕,왕
활동분야기타,지방세력가,지방세력가
활동분야가공인물,설화인물,설화인물
활동분야가공인물,신화인물,신화인물
활동분야가공인물,설화인물,설화인물
활동분야가공인물,신화인물,신화인물
활동분야왕실,왕,왕
활동분야기타,기타,기타
활동분야군인,장수,장수
활동분야군인,장군,장군
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕족,왕족
활동분야종교,불교인,불교인
활동분야무신,무장,무장
활동분야외교,사신,사신
활동분야왕실,귀족,귀족
활동분야귀화‧유민,귀화인,귀화인
활동분야종교,불교인,불교인
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야종교,불교인,불교인
활동분야군인,장군,장군
활동분야왕실,왕,왕
활동분야외교,사신,사신
활동분야관료,대신,대신
활동분야학자,기타,학자
활동분야왕실,왕,왕
활동분야학자,유학자,유학자
활동분야귀화‧유민,부흥운동가,부흥운동가
활동분야군인,장군,장군
활동분야왕실,왕족,왕족
활동분야종교,불교인,불교인
활동분야왕실,왕족,왕족
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야문신,문신,문신
활동분야시조,,시조
활동분야귀화‧유민,귀화인,귀화인
활동분야외교,사신,사신
활동분야의료,의료인,의료인
활동분야귀화‧유민,유민,유민
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야왕실,왕,왕
활동분야음악,악사,악사
활동분야의료,의인,의인
활동분야왕실,귀족,귀족
활동분야기술,장인,장인
활동분야왕실,왕,왕
활동분야예술‧체육,공예가,공예가
활동분야종교,불교인,불교인
활동분야학자,유학자,유학자
활동분야군인,장군,장군
활동분야종교,불교인,불교인
활동분야종교,불교인,불교인
활동분야의료,의인,의인
활동분야의료,의인,의인
활동분야왕실,왕족,왕족
활동분야종교,불교인,불교인
활동분야시조,,시조
활동분야가공인물,설화인물,설화인물
활동분야종교,불교인,불교인
활동분야종교,불교인,불교인
활동분야종교,불교인,불교인
활동분야종교,불교인,불교인
활동분야왕실,왕,왕
활동분야외교,사신,사신
활동분야군인,장군,장군
활동분야종교,불교인,불교인
활동분야가공인물,설화인물,설화인물
활동분야군인,장군,장군
활동분야관료,관인,관인
활동분야시조,,시조
활동분야학자,기타,학자
활동분야군인,장군,장군
활동분야시조,,시조
활동분야군인,장군,장군
활동분야군인,장군,장군
활동분야관료,관리,관리
활동분야군인,장군,장군
활동분야외교,사신,사신
활동분야귀화‧유민,유민,유민
활동분야관료,대신,대신
활동분야왕실,귀족,귀족
활동분야왕실,왕,왕
활동분야기술,기술자,기술자
활동분야왕실,왕,왕
활동분야외교,사신,사신
활동분야관료,,관료
활동분야예술‧체육,무용가,무용가
활동분야시조,,시조
활동분야외교,사신,사신
활동분야의료,의료인,의료인
활동분야종교,불교인,불교인
활동분야왕실,귀족,귀족
활동분야미술,화가,화가
활동분야군인,장군,장군
활동분야기술,기술자,기술자
활동분야왕실,왕,왕
활동분야귀화‧유민,부흥운동가,부흥운동가
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕자,왕자
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야귀화‧유민,부흥운동가,부흥운동가
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕족,왕족
활동분야왕실,왕,왕
활동분야시조,,시조
활동분야왕실,왕,왕
활동분야관료,관리,관리
활동분야왕실,왕,왕
활동분야관료,관리,관리
활동분야군인,장군,장군
활동분야변란,고변인,고변인
활동분야외교,외교가,외교가
활동분야왕실,왕,왕
활동분야군인,장군,장군
활동분야귀화‧유민,유민,유민
활동분야왕실,왕족,왕족
활동분야관료,중신,중신
활동분야관료,,관료
활동분야귀화‧유민,부흥운동가,부흥운동가
활동분야군인,장군,장군
활동분야음악,음악가,음악가
활동분야왕실,왕,왕
활동분야무신,무장,무장
활동분야기술,기술자,기술자
활동분야왕실,왕족,왕족
활동분야관료,관리,관리
활동분야왕실,왕,왕
활동분야충효열,충신,충신
활동분야왕실,기타,왕실
활동분야의료,의료인,의료인
활동분야귀화‧유민,부흥운동가,부흥운동가
활동분야관료,관리,관리
활동분야왕실,왕족,왕족
